# World Detailed Checksums
# Format: TYPE VNUM CHECKSUM

# Zones
ZONE 335 74BDB7A9
ZONE 336 ECFF7B15
ZONE 338 23B41A95
ZONE 339 C5D11749
ZONE 340 15CF66E8
ZONE 342 68D2134C
ZONE 343 60EC018E
ZONE 344 418C81CF
ZONE 346 2CB057EF
ZONE 348 B6275591
ZONE 350 F0EE373A
ZONE 351 82316A4A
ZONE 352 336A7086
ZONE 353 70A42515
ZONE 354 7B36421F
ZONE 355 F55DA709
ZONE 356 6A9DAB43
ZONE 357 EC4A4B68
ZONE 358 BB0892AA
ZONE 359 828FE52C
ZONE 360 9E713C4A
ZONE 361 19ABEFB2
ZONE 377 37384AC6
ZONE 378 A22607C3
ZONE 379 29AB162E
ZONE 380 B06BB828
ZONE 381 7C0FC8BA
ZONE 382 3683B828
ZONE 383 8CA9D6E2
ZONE 384 7FA7760A
ZONE 385 AAF0C633
ZONE 388 DA92A129
ZONE 389 4BFF839B
ZONE 400 93D800B2
ZONE 401 82451818
ZONE 402 203FA60F
ZONE 403 D57E52E5
ZONE 404 FEF7BE67
ZONE 405 06EE347A
ZONE 406 2227BBDA
ZONE 421 7ED6F43D
ZONE 422 4B628411
ZONE 427 ED0546A8
ZONE 429 37A9F853
ZONE 430 88918918
ZONE 461 0926AA7E
ZONE 471 E849D081
ZONE 475 7DF520AC
ZONE 476 EF3F94FB
ZONE 477 FC6F1DBA
ZONE 479 84764D13
ZONE 497 E7945FA6
ZONE 498 B521DA77
ZONE 499 8BFE908A
ZONE 500 A7627F33
ZONE 501 5C38E1EA
ZONE 502 29CABB34
ZONE 505 DDEE611F
ZONE 518 98EA1E8A
ZONE 560 804E581A
ZONE 568 DF3406B1
ZONE 569 4EF35058
ZONE 580 79A70B3E
ZONE 581 9E002A60
ZONE 582 2F4526E6
ZONE 583 C080470E
ZONE 585 C009AE2C
ZONE 586 80585231
ZONE 587 CAC24229
ZONE 600 52962BB9
ZONE 601 5C791574
ZONE 602 A66A6E56
ZONE 603 06752F2D
ZONE 604 306115E6
ZONE 606 DAD47E46
ZONE 607 B880C720
ZONE 608 A6218FF0
ZONE 609 C6B2C768
ZONE 610 FEAFE5DF
ZONE 611 923AD3E5
ZONE 612 12BB498D
ZONE 613 1979F008
ZONE 614 650191D1
ZONE 615 DA3088DC
ZONE 616 5E7C89A9
ZONE 617 9B3D19E4
ZONE 618 BE0AF758
ZONE 619 C6F1BF82
ZONE 620 D03D2459
ZONE 621 693A510A
ZONE 622 E36AE6A6
ZONE 623 8E557E66
ZONE 624 4668F33B
ZONE 625 7E5854E7
ZONE 626 2346BEF0
ZONE 627 266B08D0
ZONE 628 4A2C7B17
ZONE 629 417E40F9
ZONE 630 F304D9D1
ZONE 631 9097F066
ZONE 632 D3F1A9CC
ZONE 633 9098DFE6
ZONE 634 EEE1D301
ZONE 635 AF28F944
ZONE 636 0806733E
ZONE 637 8B6C3C83
ZONE 638 2EE3E1B0
ZONE 639 3E441216
ZONE 640 DC78C629
ZONE 641 2D654C6F
ZONE 642 02E65B4C
ZONE 643 F29D4C00
ZONE 644 EF9F4D7D
ZONE 646 F9F4C6E3
ZONE 647 64C2AD35
ZONE 648 D509CD9B
ZONE 649 F63AE835
ZONE 650 3102E5E3
ZONE 651 0A1F9FD5
ZONE 652 F3775BC1
ZONE 653 130D9327
ZONE 654 6411D587
ZONE 656 6A6F1A12
ZONE 657 5988B322
ZONE 658 7B8E9BE3
ZONE 659 88968936
ZONE 660 19885ABA
ZONE 661 3F56F631
ZONE 662 2E4D84AF
ZONE 664 44D1F325
ZONE 665 6C95EF1A
ZONE 666 56825287
ZONE 668 9EF50D6A
ZONE 669 735D07BD
ZONE 670 98B2E811
ZONE 671 8B7B5278
ZONE 672 C39046C5
ZONE 675 A0F2E1CD
ZONE 676 015258D2
ZONE 677 E910560B
ZONE 678 069296E6
ZONE 679 F1C9C563
ZONE 680 8DA863AA
ZONE 681 E04D355F
ZONE 682 0B679CB8
ZONE 683 10C9E7F6
ZONE 684 CE035D2B
ZONE 686 51C0255D
ZONE 687 17FA0320
ZONE 688 3767150A
ZONE 689 FF0F1864
ZONE 690 1BA186FE
ZONE 691 C74282D4
ZONE 692 5AD3F4AF
ZONE 693 8A8D97E0
ZONE 694 6C1B186D
ZONE 695 58A9A21B
ZONE 696 5B178121
ZONE 700 7E22F239
ZONE 701 7C01F34E
ZONE 702 F5C4A976
ZONE 703 6B24EB93
ZONE 704 205B4A6C
ZONE 707 AA3D757A
ZONE 710 B92D7042
ZONE 711 42FBEB76
ZONE 712 BB4FD3F6
ZONE 713 AF888649
ZONE 714 EDB757FB
ZONE 719 14144F2D
ZONE 720 EF49BC5C
ZONE 721 B25F4B49
ZONE 722 B024C013
ZONE 724 B3615F02
ZONE 725 873C8EDE
ZONE 726 6C13FF67
ZONE 727 3886865A
ZONE 730 C6309B19
ZONE 731 07D25659
ZONE 732 8C5FC944
ZONE 748 45F9D399
ZONE 749 F1BAA730
ZONE 750 DC739F80
ZONE 751 17239499
ZONE 752 4EBEE939
ZONE 753 09CF3B9E
ZONE 754 5A0F64AD
ZONE 755 EFE98C3B
ZONE 756 B4DE6515
ZONE 759 414C6D32
ZONE 760 F1525DBB
ZONE 761 F0B51E72
ZONE 762 AB137E07
ZONE 763 3A376FBF
ZONE 764 0B304858
ZONE 765 C9F674A8
ZONE 766 8C3E2E92
ZONE 767 DD7455B7
ZONE 770 AC8A14C2
ZONE 771 CD83B5D6
ZONE 773 574063F0
ZONE 774 3B5C0BDD
ZONE 775 D5E5EF2F
ZONE 776 B32F658F
ZONE 777 5B0CB2A1
ZONE 778 87043E3A
ZONE 779 756F8907
ZONE 780 9F2ACB83
ZONE 781 EC629C81
ZONE 789 83F17A65
ZONE 790 D60E0FA7
ZONE 791 7159BD77
ZONE 792 9AC70CE1
ZONE 793 985800B0
ZONE 794 2B25A8C4
ZONE 796 D393DF5E
ZONE 797 10667326
ZONE 798 75CDD641
ZONE 799 D4AA9270
ZONE 800 5F70AAA8
ZONE 801 854181F5
ZONE 802 D05F3BE7
ZONE 803 8840D8D6
ZONE 804 5CFE79CB
ZONE 806 538EDE09
ZONE 807 F529009C
ZONE 808 7B7B16CD
ZONE 809 449EBDD2
ZONE 814 ED92ACF9
ZONE 820 D85BEB3A
ZONE 821 15D6A9B4
ZONE 822 A51A86EA
ZONE 823 CF7EDD24
ZONE 824 5FBD9F0B
ZONE 825 4C8C88B6
ZONE 826 F3B7E16B
ZONE 827 960ADE3A
